title,year
Sullivan's Travels,1941
My Darling Clementine,1946
A Canterbury Tale,1944
Brief Encounter,1945
The Life and Death of Colonel Blimp,1943
I Know Where Iâ€™m Going!,1945
Double Indemnity,1944
Paisan,1946
The Magnificent Ambersons,1942
Letter from an Unknown Woman,1948
Black Narcissus,1947
Out of the Past,1947
Les Enfants du paradis,1945
It's a Wonderful Life,1947
Notorious,1946
To Be or Not to Be,1942
A Matter of Life and Death,1946
The Red Shoes,1948
The Third Man,1949
Casablanca,1942
Bicycle Thieves,1948
Late Spring,1949
Meshes of the Afternoon,1943
Citizen Kane,1941
